app_name,app_id,user_name,score,content,thumbs_up_count,review_date
Instagram,com.instagram.android,Deaniel Saw,1,"tiba tiba followers berkurang/bertambah sendiri haha, buat story selalu ngebug, dan masih banyak lagi. Rate 1/1.000.000",2,2025-04-10 22:21:58
Instagram,com.instagram.android,Muhammad Habiburrahman,5,Bagus,0,2025-04-10 06:48:35
Instagram,com.instagram.android,Put Pio,1,tidak bisa login,1,2025-04-09 13:50:54
Instagram,com.instagram.android,Reginq,5,Kenapa ig tdk bisa menginstal,0,2025-04-09 13:35:54
Instagram,com.instagram.android,Hp baru Nich,1,kenapa nyari filter gabisa tulisannya tidak da hasil padahal namanya benar tapi liat di tok tok harus uptade gimana cara nya ya,0,2025-04-09 10:41:05
Instagram,com.instagram.android,Anita br Saragih,1,apk makin di update makin suka nge lag dan error padahal jaringan dan hp dalam keadaan yang baik baik aja,2,2025-04-09 01:10:55
Instagram,com.instagram.android,Dzaky Radhitya,5,apik jan,1,2025-04-08 06:17:13
Instagram,com.instagram.android,Hanuna Nafisa awyafa,3,dm nya knp gbs dibuka,0,2025-04-07 19:34:05
Instagram,com.instagram.android,rama zalena,5,sangat bagus dan aplikasi nya berjalan lancar,1,2025-04-06 10:10:43
Instagram,com.instagram.android,Anwar aryana,5,oke bagus',0,2025-04-06 10:09:02
Instagram,com.instagram.android,Arif Nurhidayat,5,👍👍👍👍👍,0,2025-04-06 10:08:54
Instagram,com.instagram.android,achmad akbar,5,dengan instagram ini saya jadi lebih asik ke seseorang,0,2025-04-06 10:08:32
Instagram,com.instagram.android,Maria Goreti,4,Baik,0,2025-04-06 10:06:03
Instagram,com.instagram.android,ibnu,5,bagus pol,0,2025-04-06 10:05:53
Instagram,com.instagram.android,Andi Saputra,4,bisa gk tglnya ditaruh disamping nama,0,2025-04-06 10:02:34
Instagram,com.instagram.android,Clara Aglena,3,krna tidak bisa bikin sorotan,0,2025-04-06 10:01:11
Instagram,com.instagram.android,Oppo Saja,5,bagus saya suka,0,2025-04-06 09:56:40
Instagram,com.instagram.android,Loetman Hidayat,5,👍👍,0,2025-04-06 09:48:15
Instagram,com.instagram.android,Bambang Arema,5,Alpikasi ini bisa memperluas wawasan ok banget ...,0,2025-04-06 09:43:13
Instagram,com.instagram.android,Linda Syafaat,5,mantap,0,2025-04-06 09:42:09
Instagram,com.instagram.android,Salwa Aurelya,1,kenapa tiba tiba fitur sorotan sama catat an setelah di update tidak ada ?,5,2025-04-06 09:38:04
Instagram,com.instagram.android,Khidzir Ulil,5,Josssss,0,2025-04-06 09:37:10
Instagram,com.instagram.android,Jhony Shad,5,baik menyenangkan,0,2025-04-06 09:35:22
Instagram,com.instagram.android,Widya Putri,5,sangat bagus apk ini kusuka,0,2025-04-06 09:33:38
Instagram,com.instagram.android,sopian hidayat,5,semoga lebih baik,0,2025-04-06 09:31:44
Instagram,com.instagram.android,Sino Dimas,5,sangat bagus,0,2025-04-06 09:28:10
Instagram,com.instagram.android,Fitria Harlian,1,Kena suspand padahal gk ngapa ngapain.,2,2025-04-06 09:24:19
Instagram,com.instagram.android,Alya Alya,5,bagus banget 👍👍👍👍👍👍👍✌✌👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍aku suka,0,2025-04-06 09:20:07
Instagram,com.instagram.android,arya pandu,5,Jelek kayes ga ngefollow gw,0,2025-04-06 09:19:41
Instagram,com.instagram.android,Sugiyarto Giyarto,5,bagus bangett,0,2025-04-06 09:11:39
Instagram,com.instagram.android,bagas hady,5,mantap,0,2025-04-06 09:11:34
Instagram,com.instagram.android,Sri Tianti Tasir,5,makasih,0,2025-04-06 09:11:11
Instagram,com.instagram.android,17 MZAG__,3,kenapa catatan postingan dihapus haaa,2,2025-04-06 09:10:38
Instagram,com.instagram.android,Ahmad Saechu,5,👍👍,0,2025-04-06 09:07:10
Instagram,com.instagram.android,Abil 777,5,baik,0,2025-04-06 09:04:14
Instagram,com.instagram.android,putry serry,5,goooodddd apk,0,2025-04-06 09:01:00
Instagram,com.instagram.android,Zafran Rabbani,1,"Akun saya tiba-tiba ditangguhkan permanen tanpa sebab, tolong dislesaikann!!",1,2025-04-06 08:57:45
Instagram,com.instagram.android,Choky Ricardo69,5,mengasikan,0,2025-04-06 08:55:24
Instagram,com.instagram.android,Arifin hidayat,5,bagus,0,2025-04-06 08:52:35
Instagram,com.instagram.android,Inda Melinda,5,Buat akun tidak bisa,0,2025-04-06 08:51:29
Instagram,com.instagram.android,azri haziq,1,mohon pihak meta banyak kali bug yang ada di apk ini... mohon di perbaiki yaaa.. !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!??!!!??!!!???!???!!!!!!!!!!!!!????!!!!!!!!!!!??????????!!!!!!!!??!!???!!?!!!!!!!!!!!!!????????????!!!!!!!!!!!!!!!!!!!!!!!!!?????????!!!!???????????!!!!!!!!!???????????!!!!!!!!!!?????????!!!!!!?!!!!!????!!!!!!!!!!!!!!!!!?????????????????????????????????????????????????????????? Gapain liat ke bawah,31,2025-04-06 08:48:19
Instagram,com.instagram.android,Wahyu Permana,3,sangat membantu jangkauan interaksi,0,2025-04-06 08:39:50
Instagram,com.instagram.android,rendi Jago,5,baguss bgtt6,0,2025-04-06 08:35:54
Instagram,com.instagram.android,Karsidah,5,bagus banget,0,2025-04-06 08:29:52
Instagram,com.instagram.android,Anggi Safitri,1,draft suka tbtb hilang semua sebelum 7 hari,0,2025-04-06 08:20:01
Instagram,com.instagram.android,Siti Rahmatul Maeylani,5,sukaaaaaaaaaaa tapiiiii aga gimanaa merenn tenyahooo ah wk,0,2025-04-06 08:15:59
Instagram,com.instagram.android,Yya Nah,2,tidak bisa nge love reels orang,0,2025-04-06 08:14:44
Instagram,com.instagram.android,Siti Khodijah,2,"setelah di update Ig sekarang malah ga ada fitur kasih emot untuk reels yg kita sukai. padahal udah seneng gak perlu di repost ke story tinggal di kasih emot aja kalau reels nya emng kita suka, malah sekarang ada fitur bagikan ke story wa untuk apa bukan wa pertemanan nya kaya Ig yang banyak, tolong kembalikan lagi fiturnya, untuk aku sendiri atau mungkin banyak orang mungkin fitur itu membantu kita yang mls ngerepost ke story. terimakasih",16,2025-04-06 08:13:39
Instagram,com.instagram.android,Marlina Sovi,5,"sangat suka, instagram membuat hari-hariku tidak jenuh",0,2025-04-06 08:03:00
Instagram,com.instagram.android,Hsri Sri Hartati,4,karna bagus dan indah,0,2025-04-06 08:01:30
Instagram,com.instagram.android,altif baydowi,1,gak seru,0,2025-04-06 08:00:18
Instagram,com.instagram.android,Dyas Alisha Putri,5,I like it!,0,2025-04-06 07:58:42
Instagram,com.instagram.android,Vivo Bagusss,5,baguss,0,2025-04-06 07:57:06
Instagram,com.instagram.android,Adi Reza,5,Hai kk aku pengguna Instagram apk ini sangat bagus tapi masih ada sedikit yang masih ingin diper baiki Mohon di perbaiki lagi yah 🙏,0,2025-04-06 07:54:39
Instagram,com.instagram.android,Mufthi Aliyansyah,5,penggunaan yang sangat mudah,0,2025-04-06 07:54:02
Instagram,com.instagram.android,Jenny Cholay,4,"pokoknya Instagram berguna bngt buat aku, tpi knp ya aku kn punya 1 akun yang g bisa buat nge-follow atau follback orang lain",0,2025-04-06 07:53:47
Instagram,com.instagram.android,haidar dzakiy,5,ok,0,2025-04-06 07:51:10
