app_name,app_id,user_name,score,content,thumbs_up_count,review_date,cleaned_text,processed_text,sentiment_label,sentiment_score
Shopee,com.shopee.id,Firdhan Maulana,3,"mengapa setiap buka aplikasi selalu lemot? padahal sinyal lancar jaya hp suport, tolong pihak shopee tolong di kondisikan",0,2025-04-11 16:52:12,mengapa setiap buka aplikasi selalu lemot padahal sinyal lancar jaya hp suport tolong pihak shopee tolong di kondisikan,mengapa tiap buka aplikasi selalu lot padahal sinyal lancar jaya hp suport tolong pihak shopee tolong kondisi,neutral,1
Netflix,com.netflix.mediaclient,Cak wani Sulis,3,gue kasih 3 dulu kalu bagus di aplikasi ini gue tambah ok,0,2025-04-04 01:42:34,gue kasih dulu kalu bagus di aplikasi ini gue tambah ok,gue kasih dulu kalu bagus aplikasi gue tambah ok,neutral,1
Jenius,com.btpn.dc,Oppo Reno6rf,1,"Sangat tidak direkomendasikan, sistem nya sangat buruk",0,2025-03-12 18:44:00,sangat tidak direkomendasikan sistem nya sangat buruk,sangat rekomendasi sistem nya sangat buruk,negative,0
Instagram,com.instagram.android,Sptnurr 22,3,bgs sih TPI sayang nya di akun ku g bisa komen di sg atau story Instagram diakun tmn² ku bisa tapi di akun ku ga bisa tolong perbaikilah 🙏🙏,0,2025-04-05 20:44:39,bgs sih tpi sayang nya di akun ku g bisa komen di sg atau story instagram diakun tmn² ku bisa tapi di akun ku ga bisa tolong perbaikilah,bgs sih tpi sayang nya akun ku g komen sg story instagram akun tmn ku tapi akun ku ga tolong baik,neutral,1
Instagram,com.instagram.android,Gllen Zerand,1,fitur baru ini banyak problem banyak teruk betul betul bikin emosi 🤧🤧🤧,0,2025-04-05 21:35:17,fitur baru ini banyak problem banyak teruk betul betul bikin emosi,fitur baru banyak problem banyak teruk betul betul bikin emosi,negative,0
Netflix,com.netflix.mediaclient,Devi Karina,5,bagus,0,2025-04-01 21:33:52,bagus,bagus,positive,2
Lazada,com.lazada.android,Hadis Irawan,5,sangat puas belanja di lazada banyak diskon nya,0,2025-04-11 13:50:00,sangat puas belanja di lazada banyak diskon nya,sangat puas belanja lazada banyak diskon nya,positive,2
BRImo,id.co.bri.brimo,Rival Jh,5,puas banget apalagi pelayanannya mantap,0,2025-04-11 16:41:29,puas banget apalagi pelayanannya mantap,puas banget apalagi layan mantap,positive,2
Shopee,com.shopee.id,Nengresa Octaviani,5,bagus tapi ongkir nyah ituh loh,0,2025-04-11 15:03:53,bagus tapi ongkir nyah ituh loh,bagus tapi ongkir nyah ituh loh,positive,2
Gojek,com.gojek.app,komang tatto,5,top,0,2025-04-11 13:25:03,top,top,positive,2
